0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
12,27132,29141,33090,29132,30144,31121,31130,29116,32098,28128,29137,28144,29163,32136,26189,28149
12,30083,32098,29144,28170,29126,29110,29098,57076,29122,29131,30121,29132,27142,29128,30122,30134
12,28124,27172,29214,29114,27118,25174,26181,28072,31122,33119,29137,29129,29136,30129,27106,31148
12,29154,36123,33101,27117,28122,63068,54077,32104,29102,30113,29140,29124,31137,34122,34143,26113
12,29173,30197,28207,29120,35083,44037,28099,27139,31103,31095,28144,28138,29135,29125,29133,28109
13,179255,204,255,255,255,255,178255,179255,1255,1255,179255,179255,179255,1255,242,255
13,179255,234,255,255,179255,179255,179249,179255,242,1255,179255,1255,179255,179255,255,255
13,255,4255,30255,255,241,2255,242,242,179255,179255,179255,255,255,242,255,255
13,2255,179255,255,179255,255,177255,179255,255,179255,1255,179255,179255,242,255,178255,255
13,179255,179255,255,179255,243,177255,179255,255,1255,1255,179255,179255,255,255,255,255
13,242,255,0,0,0,0,255,255,255,179255,242,255,255,255,179255,238
13,255,247,0,0,0,0,156255,2249,179255,255,1255,179255,179255,179255,179255,255
13,179255,1255,0,0,0,0,255,255,179255,179255,1255,2255,255,179255,255,255
13,245,1255,255,255,255,165255,177255,179255,179255,1255,255,179243,179255,179255,255,1255
13,0,0,0,0,0,0,0,0,1255,179255,179255,1255,179255,179255,177255,255
13,0,0,0,0,0,0,0,0,179255,179255,179255,255,179255,179255,255,179255
13,0,0,0,0,0,0,0,0,1255,1255,179255,1255,247,179255,179255,2255
13,0,0,0,0,0,0,0,0,179255,255,1255,255,179255,1255,255,255
13,0,0,0,0,0,0,0,0,179255,255,255,255,247,255,179255,255
13,0,0,0,0,0,0,0,0,255,241,179255,1255,179255,239,255,179255
13,0,0,0,0,0,0,0,0,255,242,179255,179255,179255,179255,179255,179255
13,0,0,0,0,0,0,0,0,1255,1255,245,179255,1255,179255,1255,1255
13,0,0,0,0,0,0,0,0,179255,179255,255,1255,245,179255,179255,1255
13,0,0,0,0,0,0,0,0,242,1255,243,255,1255,179255,179255,179255
13,0,0,0,0,0,0,0,0,179255,179255,1255,179255,179255,179255,179255,1248
13,0,0,0,0,0,0,0,0,1255,1255,179255,1255,179243,179255,255,1255
13,0,0,0,0,0,0,0,0,1255,1255,179255,179255,179255,179255,179232,179255
13,0,0,0,0,0,0,0,0,242,179255,179255,179255,179255,179255,242,1255
13,0,0,0,0,0,0,0,0,1255,1255,255,255,1255,255,1249,179255
13,0,0,0,0,0,0,0,0,5255,249,1255,255,1255,255,255,179255
13,0,0,0,0,0,0,0,0,255,5249,255,179255,255,178247,255,255
14,0,0,0,0,0,0,0,0,60235,60235,56255,60235,60255,60255,60255,60235
14,0,0,0,0,0,0,0,0,60235,60255,60255,60235,60255,60235,60255,60255
14,0,0,0,0,0,0,0,0,60255,60255,60255,60235,60255,62241,58255,60255
14,0,0,0,0,0,0,0,0,58255,60255,60255,60255,63255,63255,60255,60235
14,0,0,0,0,0,0,0,0,58255,60255,60235,60255,58255,62255,60255,60235
14,0,0,0,0,0,0,0,0,58255,58255,60255,60255,62255,60255,60235,58255
14,0,0,0,0,0,0,0,0,60255,60255,60235,60255,60255,62255,60255,63255
14,0,0,0,0,0,0,0,0,60255,60255,62255,60255,63255,60255,60235,60255
14,0,0,0,0,0,0,0,0,60235,60255,60235,60255,60235,60235,60235,58255
14,0,0,0,0,0,0,0,0,60255,60255,58255,60235,60219,60237,60237,60255
