0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
7,38012017,153070049,66034038,58029038,52023032,52023031,95058058,84047044,77043049,79049056,65039053,67030037,70036040,85045047,89047048,84047049,68031035,73037043,87043040,73038038,75037035,61024022,54023024,74038043
7,24000000,81000000,46000001,57001005,34000000,34000001,46000002,41001003,40000001,34000000,20000000,28000000,78020015,73015010,87024016,80018012,72016012,66009010,66009007,70013012,73015010,63007004,61005006,57006002
7,20000000,27000003,40002003,32001000,36000000,37002039,24000000,41000001,41000001,28000000,23001000,26000000,77018016,50000001,92026022,75014012,61003001,64007005,68009007,71010007,64007005,67006004,61004005,68011010
7,31001000,26000000,29000003,42001002,30000000,26000000,13000024,22001000,28000000,35000000,19001002,17001000,83022020,90027023,77017011,84021017,68010004,65011009,66009008,83022018,71013008,58007004,67011010,65009007
7,167058045,84030035,61009010,63010010,44000001,54004011,76015011,69020019,81028030,80027030,71018018,63019025,81017012,88023020,92023016,87023018,83019016,73014013,68009007,69008004,74014008,66010005,68010008,67008006
7,159046024,60010013,71008007,57007011,51003002,55008020,45006008,60010011,82027030,72025031,68015020,56002003,65009008,90021017,94025020,83019014,79019019,79030046,51000000,79017014,71010006,65005001,62003001,65008006
7,60003002,45002007,45000001,34000000,37000000,38000000,66011007,68014017,82021019,189061013,233136101,47003009,75012009,77013008,88020015,49001000,58004004,50000000,57000000,80014009,68011009,54000000,50000000,47001000
8,2010,4013,2006,1002,1002005,2002,1001,1005010,3028034,1011,35040,36187206,4007,5006,1015019,1012010,1005006,3007,4006,5006,1006007,1005006,5004,4005
8,42043,2005013,2017026,3007,3004,4007,5010011,1005006,2009016,2016026,2002008,1004012,3007,4007,1013013,4005,3007,3007,4007,1006007,5006,4005,3007,3007
8,1011014,1005,3008,1001,0,1002,6007,2003,28035,26033,1003011,6015,2009012,6009,6006,4005,5004,4005,4007,5006,4007,3007,3007,3008
8,2006,2010,3007,2003,2006,2007,1009,2013018,18025,2019024,2006013,1000012,5007,1013013,3011011,4005,4007,3008,4007,4007,4005,3006,4005,2007010
8,1019026,1052063,1018021,2008013,15018,1018026,1015021,25030,27035,2027031,1040045,1028033,16023,23029,36036,19024,1020028,13019,24028,1032033,21023,19022,1015019,1013017
8,2013021,3015025,2010,3010021,2025024,3008,2005013,18023,12016,9054059,2016023,2009,5008,1019026,3020023,11016,1013021,2006011,9013,11013,6011,2007010,2007,3008
8,2016024,2021029,25029,1009018,1008017,2017020,1020026,30033,2032041,1026030,1026030,28035,15021,29036,27029,26030,1023028,13015,15018,2022024,2022026,19024,2011015,1011017
8,3008,3004,1004009,5008,1009,3004,4005,12014,11019,9016,1007014,1016019,4005,5004,4006,3007,5004,2006,3007,5004,4005,5004,5004,4005
